Accident ID;Date;Time;City;Country;Latitude;Longitude;Weather Condition;Road Condition;Vehicles Involved;Casualties;Cause
1db7ab91;31/08/2024;8:30;Sydney; Australia;-20.350.387;160.628.329;Snow;Dry;1;0;Speeding
a6096ace;23/03/2024;5:47;New York; USA;-22.396.038;-85.316.896;Snow;Icy;5;3;Drunk Driving
43138eec;18/11/2024;10:09;Mumbai; India;3.534.182;-138.286.329;Fog;Icy;3;5;Weather Conditions
f1b6e814;26/10/2023;6:06;Mumbai; India;-21.919.688;-124.709.878;Fog;Gravel;2;10;Mechanical Failure
84c341c6;6/10/2023;17:57;Tokyo; Japan;61.881.671;157.894.619;Rain;Gravel;4;2;Weather Conditions
c2651203;5/06/2024;2:56;London; UK;65.491.629;107.589.105;Rain;Icy;5;10;Distracted Driving
16bac27f;30/07/2023;15:40;New York; USA;-57.258.756;-12.627.126;Hail;Icy;4;7;Speeding
37c6c4a9;4/06/2023;23:45;Beijing; China;-5.540.796;97.298.605;Hail;Icy;3;7;Reckless Driving
bf023036;15/06/2024;11:50;Berlin; Germany;15.090.995;-74.124.001;Rain;Icy;2;4;Reckless Driving
3c7895e3;29/06/2023;5:02;Beijing; China;-76.277.212;42.303.331;Hail;Dry;5;3;Speeding
e72d1cf5;11/11/2024;23:49;Beijing; China;-2.020.858;12.077.658;Fog;Dry;4;7;Mechanical Failure
aa4e6464;6/03/2024;20:07;New York; USA;-70.376.112;-45.300.733;Hail;Wet;2;9;Drunk Driving
8dfdb70f;7/09/2024;6:58;London; UK;2.131.448;988.593;Storm;Icy;4;7;Mechanical Failure
de752b5e;2/06/2024;7:25;São Paulo; Brazil;-11.532.914;118.877.007;Clear;Dry;5;4;Reckless Driving
b8370c74;31/12/2023;7:05;London; UK;5.804.818;129.324.357;Storm;Snowy;5;5;Distracted Driving
6625614f;2/02/2024;14:01;Mumbai; India;34.304.319;59.339.816;Rain;Snowy;2;10;Reckless Driving
711fc466;5/08/2024;4:22;Tokyo; Japan;-22.553.996;138.224.377;Fog;Wet;5;6;Weather Conditions
9b2f8106;25/04/2023;1:07;Mumbai; India;44.539.495;15.923.528;Snow;Snowy;4;6;Distracted Driving
abb826f0;3/07/2024;4:19;Paris; France;-17.507.656;140.222.556;Rain;Icy;4;1;Weather Conditions
e281c08e;18/05/2023;23:16;Berlin; Germany;-20.243.424;-45.103.983;Rain;Snowy;4;4;Reckless Driving
a9d0cf19;29/11/2024;10:30;Tokyo; Japan;-43.350.751;84.996.923;Snow;Snowy;1;7;Reckless Driving
3c3e4300;17/01/2023;15:09;New York; USA;78.681.556;31.476.773;Clear;Under Construction;3;9;Reckless Driving
1a1180b0;26/12/2023;3:54;New York; USA;64.804.801;103.972.328;Fog;Gravel;3;8;Mechanical Failure
1293b087;3/03/2024;22:04;Mumbai; India;70.367.528;-8.976.046;Hail;Icy;2;8;Speeding
6b537dbb;2/07/2023;1:05;Berlin; Germany;19.094.991;-111.565.121;Hail;Snowy;3;5;Mechanical Failure
7b2ae6a0;22/10/2024;5:42;Paris; France;87.866.753;154.298.074;Hail;Icy;1;10;Weather Conditions
0c0d8849;13/11/2023;21:39;São Paulo; Brazil;41.031.037;110.949.287;Storm;Dry;2;6;Speeding
a0cd4c93;5/11/2024;20:59;Sydney; Australia;-58.030.769;-31.404.339;Storm;Under Construction;2;4;Mechanical Failure
5b0db5ef;18/11/2024;16:34;Toronto; Canada;0.224393;-159.053.839;Fog;Snowy;5;5;Weather Conditions
4b80231c;26/07/2023;12:23;Toronto; Canada;8.836.597;-11.441.761;Hail;Snowy;2;6;Speeding
b8adaf03;23/03/2024;5:55;New York; USA;8.790.048;-172.043.763;Clear;Icy;1;7;Mechanical Failure
9f707f7c;17/07/2024;13:08;New York; USA;27.340.188;-37.116.412;Rain;Snowy;1;9;Distracted Driving
2aa0a683;26/07/2024;3:25;Paris; France;47.697.633;27.750.282;Storm;Snowy;1;3;Mechanical Failure
8edf9936;22/12/2023;4:03;Paris; France;24.596.828;-58.533.915;Hail;Wet;4;3;Speeding
c4914863;29/05/2024;16:57;Beijing; China;-50.691.802;-50.930.463;Hail;Icy;2;0;Mechanical Failure
2d754779;12/03/2024;14:47;Paris; France;3.523.523;-87.093.572;Storm;Gravel;4;9;Weather Conditions
ab0bf26a;5/07/2024;11:32;Tokyo; Japan;73.274.437;147.323.992;Rain;Under Construction;5;10;Reckless Driving
efdd392d;4/03/2024;11:01;Toronto; Canada;83.854.403;-153.258.055;Hail;Wet;4;7;Drunk Driving
7cc158be;24/07/2024;20:47;Tokyo; Japan;-89.775.139;-152.005.303;Rain;Dry;5;3;Mechanical Failure
5a49bde8;21/12/2024;9:31;London; UK;80.585.201;-141.916.596;Snow;Wet;2;10;Speeding
e3f78c1d;21/12/2024;19:02;Tokyo; Japan;48.022.059;-173.779.065;Hail;Snowy;1;8;Weather Conditions
dc113f24;16/05/2024;0:37;New York; USA;6.592.936;42.129.196;Clear;Wet;2;2;Reckless Driving
8541f92c;25/12/2024;4:56;São Paulo; Brazil;42.432.502;-107.496.412;Fog;Icy;3;7;Weather Conditions
80a90a04;29/10/2023;1:14;Berlin; Germany;-63.882.884;-149.304.063;Snow;Gravel;3;1;Speeding
740f4d46;5/10/2023;21:56;Berlin; Germany;66.953.341;-46.007.501;Storm;Snowy;1;8;Distracted Driving
7e1dd5d4;2/01/2023;9:13;São Paulo; Brazil;51.272.201;37.596.233;Hail;Snowy;2;8;Mechanical Failure
370c159a;23/02/2023;13:24;London; UK;34.023.057;139.600.976;Storm;Gravel;1;3;Drunk Driving
825dfc83;27/10/2023;17:02;Tokyo; Japan;59.328.323;41.843.209;Snow;Gravel;3;3;Reckless Driving
64cd8517;11/05/2024;22:45;London; UK;5.332.785;68.244.045;Fog;Icy;1;3;Mechanical Failure
5e31baae;16/05/2024;16:23;Sydney; Australia;-23.343.973;-157.285.425;Rain;Gravel;2;10;Drunk Driving
7ca5bd8b;13/02/2023;18:06;Mumbai; India;-49.585.552;172.472.245;Fog;Dry;4;8;Weather Conditions
bc4dcd1a;29/05/2023;21:10;Sydney; Australia;88.958.166;6.391.456;Storm;Dry;3;9;Distracted Driving
9866b47e;11/05/2023;1:11;Mumbai; India;61.105.044;-152.109.474;Hail;Wet;5;2;Reckless Driving
5672fd96;10/04/2023;23:59;Toronto; Canada;51.534.533;122.768.047;Fog;Under Construction;1;5;Weather Conditions
e892414b;2/04/2024;8:26;Mumbai; India;20.038.202;110.300.425;Fog;Snowy;2;1;Reckless Driving
1230c629;20/04/2024;9:42;New York; USA;5.576.597;-133.666.338;Snow;Dry;5;8;Weather Conditions
0dba6da5;9/11/2023;21:05;São Paulo; Brazil;-59.090.985;-24.453.005;Hail;Gravel;3;10;Reckless Driving
111796cc;8/09/2024;13:15;Paris; France;-38.755.434;7.382.182;Snow;Snowy;2;4;Mechanical Failure
16bf82ff;3/03/2023;8:42;Tokyo; Japan;4.279.053;4.730.902;Fog;Dry;1;2;Distracted Driving
6bd56b53;6/04/2024;23:48;São Paulo; Brazil;2.076.774;-166.200.311;Snow;Under Construction;4;8;Weather Conditions
240fe21b;14/02/2024;22:32;São Paulo; Brazil;-45.370.831;10.286.551;Snow;Dry;3;7;Distracted Driving
6358a009;9/05/2024;16:02;London; UK;68.279.232;-15.639.471;Rain;Under Construction;4;6;Speeding
28fd492a;18/12/2023;3:06;Sydney; Australia;19.622.841;87.516.278;Clear;Gravel;5;7;Distracted Driving
3fe71565;15/11/2024;2:33;New York; USA;3.341.476;102.461.224;Rain;Snowy;4;2;Distracted Driving
db3e72fc;11/08/2023;6:22;London; UK;-7.019.704;1.942.599;Hail;Under Construction;1;2;Drunk Driving
e950cfed;1/06/2024;12:42;Tokyo; Japan;-87.539.052;124.622.092;Fog;Under Construction;3;0;Reckless Driving
0212c806;19/12/2024;23:59;Toronto; Canada;71.435.978;-41.106.259;Clear;Gravel;5;8;Weather Conditions
d55754c3;2/03/2024;22:55;Mumbai; India;36.678.175;-13.852.731;Clear;Icy;4;4;Mechanical Failure
3ecf8102;26/07/2024;23:05;New York; USA;7.767.595;-73.557.168;Rain;Gravel;4;8;Drunk Driving
daf5aa6b;25/08/2023;19:51;São Paulo; Brazil;89.180.336;-23.985.006;Clear;Gravel;1;6;Speeding
98d1e2b0;31/10/2023;21:30;Tokyo; Japan;89.393.762;-55.597.151;Clear;Snowy;5;6;Weather Conditions
29c7be17;14/02/2024;18:01;Berlin; Germany;8.072.364;-76.086.311;Rain;Under Construction;2;3;Reckless Driving
73802912;4/03/2024;9:25;Paris; France;-3.889.548;-53.126.606;Fog;Dry;4;9;Drunk Driving
089c6f6f;30/06/2023;21:31;Sydney; Australia;-59.648.389;66.962.293;Clear;Wet;5;10;Weather Conditions
101e3a42;9/03/2023;10:06;London; UK;5.743.992;-98.712.111;Rain;Gravel;1;8;Mechanical Failure
a1a99d87;31/03/2023;2:15;Toronto; Canada;70.795.418;-75.391.622;Snow;Wet;5;0;Drunk Driving
f99faabe;3/05/2023;11:03;London; UK;-43.499.877;5.606.172;Storm;Under Construction;3;7;Weather Conditions
abffa545;3/09/2023;10:16;São Paulo; Brazil;52.680.964;39.438.935;Fog;Snowy;1;7;Speeding
4d245678;12/02/2023;15:27;Sydney; Australia;6.620.879;15.194.343;Hail;Wet;1;6;Mechanical Failure
af075e12;9/11/2023;2:43;Paris; France;4.386.887;16.213.381;Storm;Snowy;2;10;Mechanical Failure
993bb83f;4/01/2023;17:36;Berlin; Germany;81.548.044;-126.337.754;Hail;Icy;2;8;Speeding
401347ff;2/10/2023;1:11;Beijing; China;-81.557.032;-120.118.633;Snow;Icy;1;3;Mechanical Failure
0400b61a;2/06/2024;8:47;Toronto; Canada;89.800.022;84.746.185;Storm;Gravel;1;7;Mechanical Failure
82ea3d4b;13/12/2023;1:26;Beijing; China;-70.260.321;-114.069.526;Storm;Gravel;1;1;Drunk Driving
71b7ccc5;17/03/2023;16:15;New York; USA;-85.442.543;-103.122.266;Hail;Under Construction;5;10;Speeding
2bd24a9b;25/05/2024;15:56;New York; USA;53.413.394;-174.679.275;Storm;Dry;2;9;Speeding
c21ff117;8/06/2023;10:22;Mumbai; India;-63.822.386;-158.602.115;Fog;Wet;4;9;Drunk Driving
ea805df3;13/09/2024;11:25;Toronto; Canada;12.205.643;82.347.043;Snow;Wet;4;6;Speeding
ccff438f;24/07/2024;1:26;Paris; France;19.779.925;-94.543.592;Fog;Wet;1;4;Weather Conditions
169c01e9;18/03/2024;5:33;Tokyo; Japan;5.163.156;-121.616.667;Storm;Snowy;4;0;Drunk Driving
fe219f6d;5/12/2023;3:34;Sydney; Australia;-50.852.214;5.023.068;Rain;Snowy;4;1;Reckless Driving
3f25a93e;21/11/2024;20:33;São Paulo; Brazil;2.262.666;-42.167.586;Snow;Snowy;3;2;Reckless Driving
7d30ff27;7/02/2023;6:17;Toronto; Canada;31.758.845;-58.705.443;Rain;Wet;3;7;Drunk Driving
0519c96d;25/05/2023;0:36;Berlin; Germany;-80.730.538;-12.067.712;Snow;Under Construction;1;6;Distracted Driving
bf37bcfd;23/02/2023;9:57;Paris; France;-16.545.287;176.907.926;Clear;Icy;3;0;Drunk Driving
46b83a65;2/04/2023;7:03;Paris; France;-48.072.513;-3.942.919;Rain;Icy;5;2;Distracted Driving
039897c4;20/06/2023;12:14;Sydney; Australia;-2.327.527;-37.072.307;Fog;Gravel;3;7;Distracted Driving
75cb27bb;12/05/2024;17:29;Tokyo; Japan;-72.722.933;72.205.735;Snow;Dry;5;0;Weather Conditions
31af7762;15/04/2024;14:37;New York; USA;-13.023.397;167.370.163;Hail;Under Construction;5;7;Speeding
c8ed5499;7/04/2024;11:52;London; UK;36.667.403;149.890.448;Rain;Gravel;4;6;Drunk Driving
84cce960;16/03/2024;14:45;Tokyo; Japan;30.235.793;-158.723.491;Rain;Gravel;1;4;Mechanical Failure
eac84238;30/11/2024;5:25;London; UK;31.923.583;28.377.009;Fog;Snowy;3;3;Mechanical Failure
ce2bcb13;22/09/2024;15:43;Mumbai; India;-86.470.763;152.550.244;Storm;Dry;1;9;Distracted Driving
1ae65e3f;30/10/2023;19:32;São Paulo; Brazil;53.442.083;134.709.621;Hail;Wet;1;1;Weather Conditions
a57e80e2;23/01/2024;15:13;Beijing; China;-25.548.982;-165.855.214;Rain;Snowy;3;5;Weather Conditions
f702d046;5/02/2024;14:25;Sydney; Australia;60.994.243;-52.163.771;Fog;Under Construction;4;10;Distracted Driving
ac6fa383;17/03/2024;12:21;Beijing; China;73.439.688;89.317.446;Clear;Under Construction;4;4;Speeding
1bf13687;29/10/2024;7:29;New York; USA;-64.944.034;-114.444.453;Storm;Gravel;3;3;Reckless Driving
bd71070a;6/01/2023;11:18;São Paulo; Brazil;-2.652.481;97.157.892;Clear;Snowy;2;9;Distracted Driving
b1b87728;16/04/2024;16:51;Mumbai; India;-65.246.474;-77.538.752;Snow;Under Construction;1;0;Reckless Driving
ec12d39f;21/01/2024;20:01;Beijing; China;83.786.801;406.288;Storm;Wet;2;4;Drunk Driving
fb30c13b;8/06/2023;17:02;São Paulo; Brazil;367.568;121.371.154;Clear;Wet;2;3;Weather Conditions
59debdf9;1/03/2024;19:41;Tokyo; Japan;-73.444.805;-45.929.811;Hail;Dry;3;1;Distracted Driving
5e80406f;19/07/2023;12:08;São Paulo; Brazil;-26.955.822;13.848.068;Snow;Gravel;4;4;Mechanical Failure
f4bc382a;12/12/2023;6:09;Berlin; Germany;53.058.686;138.030.407;Storm;Dry;3;2;Reckless Driving
119c2f2c;14/01/2023;12:43;Mumbai; India;-53.308.374;106.779.455;Rain;Icy;1;9;Mechanical Failure
7b57aff9;14/09/2024;7:54;Paris; France;-42.471.079;-3.845.032;Rain;Under Construction;1;1;Drunk Driving
464f4620;2/10/2023;9:41;Mumbai; India;3.115.509;-28.635.153;Fog;Dry;3;2;Speeding
cee21d87;25/01/2023;5:35;Mumbai; India;-1.320.316;95.991.458;Snow;Gravel;4;8;Drunk Driving
7ff9b12e;19/06/2024;15:22;Mumbai; India;58.529.319;-107.462.924;Clear;Under Construction;1;1;Speeding
2c9e1d03;21/12/2023;12:16;Paris; France;37.342.756;-606.151;Hail;Under Construction;2;0;Drunk Driving
b553db5c;22/07/2023;16:39;Tokyo; Japan;80.896.983;112.584.976;Clear;Icy;3;10;Reckless Driving
28c9195b;24/10/2024;18:44;Sydney; Australia;-7.774.994;9.119.148;Hail;Snowy;1;1;Reckless Driving
a76f66b9;6/10/2024;19:43;Sydney; Australia;55.959.387;1.023.067;Hail;Icy;3;1;Weather Conditions
df155b4f;3/12/2023;14:16;London; UK;86.902.721;136.860.454;Fog;Wet;2;9;Mechanical Failure
f14fbb12;16/06/2024;14:34;São Paulo; Brazil;6.459.995;-155.250.658;Fog;Under Construction;3;9;Weather Conditions
d39da039;15/04/2024;20:21;Paris; France;-5.763.022;168.742.441;Snow;Dry;3;9;Speeding
d0ec6e43;7/09/2023;17:50;London; UK;34.376.546;152.223.027;Hail;Gravel;4;0;Drunk Driving
7a5c4131;4/02/2023;21:44;Mumbai; India;-46.484.305;90.231.688;Clear;Icy;5;3;Mechanical Failure
8c5cd407;5/06/2024;10:44;Sydney; Australia;-42.617.088;-176.933.944;Storm;Wet;3;5;Mechanical Failure
a6129d18;30/05/2024;6:11;São Paulo; Brazil;-41.125.078;166.152.937;Fog;Wet;3;10;Mechanical Failure
cd03105e;19/06/2023;8:38;Toronto; Canada;-55.253.482;-20.549.268;Storm;Under Construction;5;3;Drunk Driving
a2a91045;1/09/2023;11:24;Berlin; Germany;22.281.166;-4.612.144;Storm;Wet;3;5;Weather Conditions
291fcc3a;8/01/2023;13:23;Mumbai; India;25.884.671;-242.359;Clear;Dry;2;1;Reckless Driving
89e541d1;3/08/2023;23:44;Toronto; Canada;76.449.464;-83.231.948;Hail;Dry;1;1;Drunk Driving
bea57697;26/12/2024;12:45;Berlin; Germany;-66.533.029;-6.128.857;Clear;Snowy;4;10;Drunk Driving
30597601;10/08/2024;18:11;Toronto; Canada;25.660.334;11.255.992;Storm;Gravel;1;0;Speeding
27a971ed;2/02/2023;5:04;Tokyo; Japan;8.564.277;49.378.699;Storm;Snowy;5;8;Weather Conditions
88e2293b;9/12/2024;23:12;Toronto; Canada;-39.191.186;-114.729.832;Hail;Wet;3;0;Speeding
80f83c3a;4/02/2024;15:28;Berlin; Germany;11.628.031;97.159.763;Hail;Icy;1;8;Speeding
3fe0b464;14/11/2024;6:14;São Paulo; Brazil;21.239.255;-34.827.142;Clear;Wet;3;4;Distracted Driving
9c03e6ad;26/06/2024;18:58;São Paulo; Brazil;-10.272.826;44.606.985;Hail;Snowy;5;4;Mechanical Failure
39638ab7;2/02/2024;6:11;London; UK;-80.025.521;-128.678.675;Hail;Wet;4;8;Weather Conditions
934ea00a;18/08/2023;13:22;Mumbai; India;81.155.044;-19.302.741;Clear;Wet;2;7;Drunk Driving
9f48378c;16/05/2024;1:28;Berlin; Germany;-7.799.907;104.591.541;Storm;Wet;1;3;Mechanical Failure
0b26ea8b;16/10/2024;12:15;Sydney; Australia;-64.132.399;-166.807.914;Hail;Under Construction;4;6;Mechanical Failure
2cd1fead;10/04/2024;23:37;London; UK;-68.516.658;101.364.236;Rain;Under Construction;5;5;Speeding
166135bf;6/09/2024;9:56;Sydney; Australia;-82.380.707;-15.513.997;Fog;Icy;1;5;Mechanical Failure
80c7c52d;2/12/2023;8:37;Beijing; China;47.135.917;76.335.789;Rain;Gravel;5;10;Drunk Driving
aff36b25;22/04/2024;12:03;London; UK;17.081.984;-52.928.418;Snow;Wet;5;7;Speeding
2e08c3bb;5/01/2023;11:20;Tokyo; Japan;-43.450.996;14.722.666;Clear;Wet;2;9;Mechanical Failure
7b73d315;26/01/2023;10:10;New York; USA;-19.246.588;-165.365.953;Fog;Gravel;4;1;Reckless Driving
c7fd4d01;2/09/2023;10:23;Sydney; Australia;-44.668.523;28.948.458;Rain;Under Construction;2;2;Weather Conditions
50722706;7/10/2023;20:11;Berlin; Germany;-9.458.885;4.486.301;Storm;Under Construction;1;3;Speeding
d79c64ae;21/06/2024;20:53;New York; USA;7.765.359;120.743.353;Hail;Under Construction;3;8;Distracted Driving
9fdeb7a8;30/05/2024;1:52;Sydney; Australia;-50.816.101;101.218.695;Snow;Under Construction;4;2;Mechanical Failure
423cddd1;30/12/2024;18:13;Sydney; Australia;-50.723.226;-131.344.949;Fog;Snowy;2;8;Reckless Driving
1511d1d0;25/01/2023;10:01;Paris; France;13.487.416;-31.094.917;Snow;Under Construction;2;2;Speeding
d3751ca4;6/05/2023;7:51;Sydney; Australia;-34.298.934;-121.070.635;Rain;Wet;3;4;Speeding
9745978a;13/04/2023;17:31;Paris; France;7.562.567;-2.333.119;Fog;Wet;1;3;Distracted Driving
6e986d41;27/03/2024;19:10;Berlin; Germany;75.675.301;72.086.922;Storm;Under Construction;5;5;Reckless Driving
864c5f71;29/06/2023;1:14;Paris; France;-71.244.207;5.933.442;Fog;Dry;1;4;Speeding
47523526;28/09/2023;22:52;Sydney; Australia;-32.311.048;18.780.282;Fog;Wet;4;7;Speeding
9a97f6b6;1/09/2023;6:18;Paris; France;-81.523.717;122.373.375;Storm;Wet;5;4;Distracted Driving
f565be4d;8/09/2023;22:01;Mumbai; India;-89.580.214;-21.356.622;Snow;Icy;5;0;Mechanical Failure
0dcba104;28/06/2023;10:40;Paris; France;55.384.924;-98.263.088;Storm;Snowy;5;9;Distracted Driving
923a0cce;4/05/2023;21:48;Mumbai; India;0.262952;-72.734.407;Fog;Under Construction;2;4;Reckless Driving
fd10c55d;15/02/2024;11:57;Tokyo; Japan;-11.358.261;143.541.624;Fog;Gravel;4;2;Weather Conditions
309c1683;23/06/2023;12:16;London; UK;-66.440.758;179.507.776;Storm;Under Construction;3;3;Speeding
be604d21;8/05/2024;16:08;Toronto; Canada;2.488.936;-158.436.604;Hail;Wet;4;6;Drunk Driving
eedaee2f;27/09/2023;11:59;Mumbai; India;48.869.959;51.035.593;Hail;Gravel;1;6;Speeding
321f2849;30/01/2024;20:15;Paris; France;20.535.769;-10.746.712;Storm;Dry;3;8;Reckless Driving
af8d7c02;16/02/2023;14:16;Beijing; China;78.069.213;177.097.763;Clear;Under Construction;2;2;Mechanical Failure
0d915a55;22/02/2024;3:29;Toronto; Canada;2.852.496;-38.628.528;Snow;Icy;3;0;Weather Conditions
6d204d29;14/06/2023;14:15;Sydney; Australia;8.305.243;-10.545.683;Storm;Snowy;1;4;Mechanical Failure
5,03E+252;16/04/2024;12:04;Sydney; Australia;61.500.968;-161.161.516;Snow;Icy;4;5;Drunk Driving
1b90ecc8;9/11/2023;17:38;Beijing; China;31.429.314;-87.256.604;Clear;Gravel;1;5;Speeding
afb4ec6a;18/11/2024;6:34;São Paulo; Brazil;-78.963.844;108.019.223;Clear;Under Construction;3;2;Drunk Driving
006b229d;19/08/2023;16:30;Paris; France;4.758.211;10.585.129;Clear;Dry;3;8;Distracted Driving
8c37d070;29/08/2024;12:51;Berlin; Germany;-35.437.936;62.882.285;Rain;Snowy;3;1;Distracted Driving
351edb85;23/04/2023;4:14;São Paulo; Brazil;-58.910.407;178.611.178;Fog;Wet;4;1;Drunk Driving
cd9d321f;19/04/2023;11:54;Tokyo; Japan;-13.169.407;6.509.676;Hail;Gravel;2;1;Drunk Driving
e9a000a4;3/04/2024;6:33;New York; USA;2.400.551;-162.920.622;Storm;Gravel;5;4;Drunk Driving
a444b82f;25/10/2024;10:01;Sydney; Australia;37.890.441;8.762.644;Clear;Dry;1;4;Mechanical Failure
0731eb13;11/08/2024;5:56;Tokyo; Japan;351.199;72.693.664;Hail;Wet;3;6;Weather Conditions
9cc59405;21/04/2024;18:21;New York; USA;-4.537.757;-151.912.158;Hail;Dry;4;5;Distracted Driving
0688d839;27/02/2023;5:27;London; UK;6.750.105;94.926.875;Storm;Snowy;5;10;Weather Conditions
a1203994;1/10/2023;18:52;Sydney; Australia;55.688.124;-334.867;Hail;Under Construction;3;8;Drunk Driving
fc3e8eb2;30/08/2024;17:09;New York; USA;6.677.231;-12.020.427;Snow;Wet;3;4;Distracted Driving
da70549e;5/05/2023;5:15;Toronto; Canada;-68.399.323;19.981.716;Storm;Gravel;5;9;Speeding
54f9ac61;19/12/2023;6:38;Tokyo; Japan;10.618.161;-1.163.618;Hail;Wet;3;6;Weather Conditions
506e3067;10/04/2024;9:41;Sydney; Australia;19.249.923;98.911.958;Snow;Dry;1;0;Weather Conditions
4b3a2004;25/08/2023;3:23;Mumbai; India;-76.306.655;37.541.163;Rain;Dry;3;3;Weather Conditions
d7c9bd50;10/01/2024;4:28;Paris; France;467.085;160.038.046;Snow;Icy;3;5;Speeding
fd561717;4/03/2023;16:04;Paris; France;-74.516.409;-124.474.597;Storm;Gravel;1;8;Distracted Driving
705af774;23/02/2023;1:41;São Paulo; Brazil;44.561.927;174.939.575;Storm;Wet;3;0;Reckless Driving
b93e54c7;24/04/2023;13:02;London; UK;87.370.053;-157.755.527;Clear;Dry;2;7;Distracted Driving
